MenteeId;MentorId
213;1
244;3
273;3
702;4
608;4
115;5
252;5
322;6
659;7
373;7
238;7
516;8
441;8
370;8
745;9
609;9
443;10
622;10
178;10
408;11
92;11
616;11
728;16
820;16
729;16
11;13
129;13
649;14
210;14
484;14
825;15
246;15
537;17
617;17
690;17
100;18
376;18
35;18
399;19
802;20
770;20
631;20
349;21
235;21
395;21
191;22
253;22
816;22
207;23
706;23
667;23
639;24
137;24
125;25
76;26
398;26
674;27
502;27
687;27
179;28
509;28
119;28
304;29
407;30
657;30
473;30
77;31
256;31
159;31
112;32
795;32
561;33
607;33
577;33
346;34
33;35
489;36
760;37
436;37
789;37
313;38
606;38
102;38
42;78
602;78
118;78
231;40
342;40
226;40
301;41
312;41
644;41
428;42
693;42
14;42
738;43
10;43
715;43
120;44
87;44
817;44
725;45
733;46
571;47
40;47
543;48
749;48
562;48
56;49
60;49
13;49
698;50
782;50
784;50
594;51
573;51
293;51
788;52
601;52
199;52
99;53
671;53
84;53
523;54
535;54
193;55
62;55
381;55
86;56
362;56
560;56
86;56
362;56
560;56
576;58
723;59
804;59
311;60
274;60
627;61
53;61
80;61
316;62
575;62
219;63
707;63
421;63
432;64
461;64
385;64
663;65
454;65
275;262
212;262
658;262
334;67
564;68
393;69
300;70
223;70
19;70
413;71
469;71
474;71
468;72
675;72
389;72
722;73
348;74
736;74
51;74
656;75
333;75
177;75
670;76
258;76
457;76
127;77
805;77
298;77
268;80
283;80
37;80
681;81
522;82
49;82
773;83
582;83
224;84
9;84
291;96
633;96
734;86
711;86
775;87
162;87
383;88
379;88
414;88
810;89
790;89
530;89
532;90
538;90
360;90
528;91
823;92
539;92
793;92
578;93
769;93
536;93
799;97
415;97
534;97
124;95
185;98
139;98
767;99
648;99
611;99
776;100
750;100
369;101
465;101
221;101
692;102
807;102
1;104
5;104
7;104
655;105
763;105
330;105
289;107
796;107
176;107
8;108
741;109
23;109
242;110
201;110
341;110
768;111
459;111
460;111
45;112
26;112
2;112
669;113
482;113
113;113
665;114
486;114
272;115
682;115
666;115
352;118
591;118
791;118
222;119
95;119
569;126
515;126
172;122
417;122
451;122
466;123
133;123
130;124
517;124
588;124
264;128
161;128
651;128
71;127
281;129
365;129
447;130
632;130
410;132
192;132
190;133
17;134
20;134
21;134
18;135
170;135
363;135
27;136
249;136
59;136
720;137
215;137
424;138
340;138
160;139
96;139
174;139
196;140
211;140
686;140
171;141
91;142
98;142
839;142
731;143
735;144
604;144
463;144
542;145
503;145
440;146
593;146
684;146
703;148
202;148
203;148
43;149
111;150
438;150
79;150
173;151
251;151
266;151
277;152
623;152
250;152
425;153
117;153
822;154
387;154
206;154
800;155
97;155
364;155
109;156
355;156
618;157
153;157
154;158
783;159
819;159
239;160
541;161
679;161
737;162
518;162
90;162
555;163
147;163
500;163
719;164
700;165
668;165
182;165
70;166
69;166
257;166
409;167
110;167
142;167
495;168
165;168
136;169
426;170
106;170
351;171
619;171
772;172
642;173
166;173
101;173
46;174
570;174
843;174
138;175
685;175
501;175
827;176
479;176
218;177
248;177
254;177
259;178
260;178
189;179
759;179
261;179
548;180
472;180
347;181
359;181
446;181
366;182
742;182
262;183
243;184
245;184
247;184
694;185
599;185
263;186
265;186
267;186
208;187
361;187
507;187
29;188
30;188
155;189
44;189
781;190
774;190
372;190
131;191
50;191
439;191
640;192
186;192
269;192
236;193
240;193
241;193
24;194
270;195
271;195
276;195
3;196
232;198
233;198
730;199
323;199
704;199
216;200
220;200
229;200
771;204
371;204
279;205
786;206
314;247
701;247
280;248
282;248
285;248
567;249
336;249
610;249
141;250
836;250
490;250
151;220
327;220
798;219
214;245
590;245
803;246
778;246
4;255
325;256
286;256
287;221
288;221
290;221
34;222
384;223
358;223
74;224
146;224
63;224
57;225
818;225
394;226
673;226
343;227
757;227
152;228
39;228
48;229
67;229
72;229
345;230
565;230
411;230
390;231
710;232
499;232
88;232
321;233
292;234
303;234
305;235
306;235
309;235
339;236
150;236
815;236
310;237
315;237
317;237
324;238
510;238
73;239
598;239
765;239
78;240
81;240
83;240
431;241
713;241
149;241
708;242
533;242
31;242
295;243
418;243
89;244
93;244
94;244
356;251
85;251
319;252
320;253
329;253
332;253
255;254
754;254
653;254
299;257
641;257
375;257
32;258
328;258
652;259
16;259
809;259
403;260
504;261
103104;261
128;261
105;264
225;264
422;273
678;273
134;273
335;266
344;266
350;266
744;267
508;267
357;269
367;269
368;269
140;270
144;270
156;270
15;271
284;271
812;272
163;272
841;272
452;274
511;274
122;274
688;275
493;275
338;275
143;276
64;276
837;277
237;277
374;278
377;278
378;279
380;279
450;280
354;280
47;280
732;281
612;281
200;282
54;282
464;282
724;284
75;285
61;285
209;285
302;286
634;286
38;286
396;287
620;287
296;287
491;288
204;288
205;288
777;289
297;289
22;290
41;291
164;291
167;291
824;292
197;292
198;292
580;293
382;294
386;294
391;295
392;295
227;296
123;296
169;296
400;297
520;298
521;299
505;299
278;300
388;301
546;301
145;301
574;302
294;303
188;303
194;303
107;304
36;304
184;304
397;305
402;305
404;305
132;306
307;306
405;306
195;307
406;307
412;307
148;308
66;308
416;308
630;309
326;309
68;309
496;310
480;310
337;310
55;311
114;311
28;311
481;312
429;312
308;312
12;313
423;313
427;313
650;314
58;314
478;314
230;315
430;315
433;315
135;316
435;316
437;316
25;317
716;317
752;317
442;318
445;318
448;318
187;319
453;319
506;319
579;320
740;320
551;320
586;321
621;321
458;321
787;322
318;322
228;322
747;323
157;323
217;323
168;324
82;324
234;324
126;325
497;325
498;325
638;359
581;359
766;360
494;360
487;361
488;361
492;361
709;362
353;363
661;364
585;364
331;365
420;366
419;366
832;367
121;367
477;368
485;368
483;369
755;370
476;371
753;372
553;372
180;372
718;373
52;373
471;374
475;374
434;375
626;375
175;376
672;377
563;378
514;378
181;379
183;379
401;380
550;380
158;380
116;381
65;381
552;382
449;383
689;384
838;384
835;385
6;385
455;386
456;387
462;388
467;389
780;390
613;390
470;390
471;391
0;2
0;12
0;39
0;57
0;66
0;79
0;85
0;94
0;103
0;106
0;116
0;117
0;120
0;121
0;125
0;131
0;147
0;197
0;201
0;202
0;203
0;207
0;208
0;209
0;210
0;211
0;212
0;213
0;214
0;215
0;216
0;217
0;218
0;263
0;265
0;268
0;283
0;326
0;327
0;328
0;329
0;330
0;331
0;332
0;333
0;334
0;335
0;336
0;337
0;338
0;339
0;340
0;341
0;342
0;343
0;344
0;345
0;346
0;347
0;348
0;349
0;350
0;351
0;352
0;353
0;354
0;355
0;356
0;357
0;358
